view,domain,surface,code,name,n,k,share,lo,hi,pv_share
all,教育,assistant_top1k,U08,清单与推荐,859,68,0.07916181606519208,0.06292308422661588,0.09914791466819864,0.03914758806841781
all,教育,assistant_top1k,U09,获取现成内容,859,50,0.05820721769499418,0.044428137723897164,0.07592025530675875,0.029269086469035945
all,教育,assistant_top1k,U10,生成与编辑,859,50,0.05820721769499418,0.044428137723897164,0.07592025530675875,0.03247922965667058
all,教育,assistant_top1k,U11,会话与系统指令,859,111,0.12922002328288706,0.10842748465894989,0.1533141838002435,0.11137182698227195
all,教育,assistant_top1k,U12,违规或灰色内容,859,0,0.0,0.0,0.004452265630215325,0.0
all,教育,assistant_top1k,U13,无法判定,859,357,0.41559953434225844,0.3830892593427535,0.4488613559266076,0.49294189538415323
all,教育,assistant_random1k,U01,导航直达,970,1,0.0010309278350515464,0.00018200258135636855,0.005816508880877326,
all,教育,assistant_random1k,U02,裸实体,970,26,0.026804123711340205,0.018356381294117007,0.03898518226200957,
all,教育,assistant_random1k,U03,事实与数值,970,136,0.1402061855670103,0.11977252096067327,0.16347847180858202,
all,教育,assistant_random1k,U04,解释与介绍,970,122,0.12577319587628866,0.10637060435146788,0.1481282792452074,
all,教育,assistant_random1k,U05,核实与动态,970,23,0.023711340206185566,0.01585118009938226,0.03532921720547717,
all,教育,assistant_random1k,U06,办事与操作,970,48,0.049484536082474224,0.037524738501995766,0.06499871089675655,
all,教育,assistant_random1k,U07,个案判断与建议,970,61,0.06288659793814433,0.049266632333666224,0.07995520415391037,
all,教育,assistant_random1k,U08,清单与推荐,970,76,0.07835051546391752,0.06305427540550015,0.09697339233841218,
all,教育,assistant_random1k,U09,获取现成内容,970,83,0.08556701030927835,0.06955720321819872,0.10484651911200363,
all,教育,assistant_random1k,U10,生成与编辑,970,199,0.20515463917525772,0.18092847905500156,0.2317070049908638,
all,教育,assistant_random1k,U11,会话与系统指令,970,62,0.06391752577319587,0.05017866518584579,0.08109689338548652,
all,教育,assistant_random1k,U12,违规或灰色内容,970,1,0.0010309278350515464,0.00018200258135636855,0.005816508880877326,
all,教育,assistant_random1k,U13,无法判定,970,132,0.1360824742268041,0.11593504412053868,0.1591010603136937,
all,影视,search_top1000,U01,导航直达,1000,140,0.14,0.11986822971832733,0.16288713726387388,0.23931763250174054
all,影视,search_top1000,U02,裸实体,1000,365,0.365,0.3357299509340308,0.39530331168429467,0.31429740768429987
all,影视,search_top1000,U03,事实与数值,1000,22,0.022,0.014572598673771597,0.03308591637481774,0.027237017532188997
all,影视,search_top1000,U04,解释与介绍,1000,8,0.008,0.004059147003819634,0.01570652120518864,0.0043887376586027324
all,影视,search_top1000,U05,核实与动态,1000,0,0.0,0.0,0.003826898586390522,0.0
all,影视,search_top1000,U06,办事与操作,1000,1,0.001,0.0001765418290572713,0.0056427029601604705,0.00039898950071684476
all,影视,search_top1000,U07,个案判断与建议,1000,0,0.0,0.0,0.003826898586390522,0.0
all,影视,search_top1000,U08,清单与推荐,1000,48,0.048,0.036393116113688354,0.06306640020840869,0.026721723399684243
all,影视,search_top1000,U09,获取现成内容,1000,372,0.372,0.3425855843534176,0.4023941016846984,0.3623704293711488
all,影视,search_top1000,U10,生成与编辑,1000,0,0.0,0.0,0.003826898586390522,0.0
all,影视,search_top1000,U11,会话与系统指令,1000,0,0.0,0.0,0.003826898586390522,0.0
all,影视,search_top1000,U12,违规或灰色内容,1000,31,0.031,0.02192386473850233,0.04366576613553198,0.01676020231719357
all,影视,search_top1000,U13,无法判定,1000,13,0.013,0.0076127471221297755,0.022114652101014598,0.008507860034424409
all,影视,search_top10k,U01,导航直达,9999,817,0.0817081708170817,0.07649835148610223,0.08723928082829929,0.16605756785897896
all,影视,search_top10k,U02,裸实体,9999,3910,0.39103910391039104,0.3815177484050065,0.400644152469241,0.3492240201481505
all,影视,search_top10k,U03,事实与数值,9999,194,0.0194019401940194,0.016877117817864,0.022295910774331237,0.02352716659631884
all,影视,search_top10k,U04,解释与介绍,9999,135,0.013501350135013501,0.011418805592664175,0.01595757513498825,0.008270103641350118
all,影视,search_top10k,U05,核实与动态,9999,13,0.0013001300130013002,0.0007599805620286864,0.002223331699958947,0.0008675387129748728
all,影视,search_top10k,U06,办事与操作,9999,9,0.0009000900090009,0.00047361902552053143,0.0017099204998879283,0.0005452323178574786
all,影视,search_top10k,U07,个案判断与建议,9999,0,0.0,0.0,0.00038405086810531917,0.0
all,影视,search_top10k,U08,清单与推荐,9999,459,0.04590459045904591,0.04197401023548937,0.05018396215507613,0.03468874588165162
all,影视,search_top10k,U09,获取现成内容,9999,3963,0.39633963396339633,0.3867936483306134,0.4059652413033081,0.379451927096982
all,影视,search_top10k,U10,生成与编辑,9999,2,0.00020002000200020003,5.48532647069115e-05,0.0007290839716879943,0.00014170919209357128
all,影视,search_top10k,U11,会话与系统指令,9999,4,0.00040004000400040005,0.00015557587970720262,0.00102824772497729,0.00019476012058484047
all,影视,search_top10k,U12,违规或灰色内容,9999,362,0.036203620362036205,0.032716720240080426,0.04004676328844011,0.026025601273862414
all,影视,search_top10k,U13,无法判定,9999,131,0.013101310131013101,0.011052098262234095,0.015524509728839158,0.011005627159194795
all,影视,assistant_top1k,U01,导航直达,955,37,0.0387434554973822,0.0282372537379331,0.05294570703473258,0.034235829680605206
all,影视,assistant_top1k,U02,裸实体,955,278,0.29109947643979056,0.26317040850633316,0.3207024647607423,0.31351613507684506
