view,surface,code,name,n,k,share,lo,hi,pv_share
interpretable,search_top10k,U03,事实与数值,9886,525,0.05310540157798908,0.048855999217475,0.057701986503954576,0.03493877021033126
interpretable,search_top10k,U04,解释与介绍,9886,3400,0.34392069593364355,0.3346191249472606,0.3533435214918898,0.26350123070014886
interpretable,search_top10k,U05,核实与动态,9886,87,0.008800323690066761,0.007140527346599663,0.010841722237660618,0.0047276422806286035
interpretable,search_top10k,U06,办事与操作,9886,6,0.000606918875177018,0.00027818131315348953,0.0013236239169727446,0.0002101605445498969
interpretable,search_top10k,U07,个案判断与建议,9886,0,0.0,0.0,0.0003884389816718602,0.0
interpretable,search_top10k,U08,清单与推荐,9886,224,0.02265830467327534,0.019904960372458244,0.0257824852181769,0.03298990298213286
interpretable,search_top10k,U09,获取现成内容,9886,130,0.013149908962168723,0.011085904558629234,0.015592136472887392,0.009595995128931232
interpretable,search_top10k,U10,生成与编辑,9886,0,0.0,0.0,0.0003884389816718602,0.0
interpretable,search_top10k,U11,会话与系统指令,9886,0,0.0,0.0,0.0003884389816718602,0.0
interpretable,search_top10k,U12,违规或灰色内容,9886,67,0.006777260772810034,0.005340530686070379,0.008597164736675322,0.005082263950262953
interpretable,search_1001plus,U01,导航直达,8896,150,0.016861510791366906,0.014386959735664184,0.019753153499609575,0.017679555222001972
interpretable,search_1001plus,U02,裸实体,8896,4731,0.5318120503597122,0.5214312849011985,0.5421653525940128,0.545799019756319
interpretable,search_1001plus,U03,事实与数值,8896,487,0.05474370503597122,0.05020585026560473,0.05966594790212894,0.05153346772700808
interpretable,search_1001plus,U04,解释与介绍,8896,3055,0.3434127697841727,0.3336146227446264,0.35334609799449324,0.33436680723033485
interpretable,search_1001plus,U05,核实与动态,8896,85,0.009554856115107913,0.007734378408964649,0.011798733281472627,0.009153185231055036
interpretable,search_1001plus,U06,办事与操作,8896,6,0.0006744604316546763,0.0003091425467175153,0.0014708441892261894,0.0004557381499667381
interpretable,search_1001plus,U07,个案判断与建议,8896,0,0.0,0.0,0.00043164813180495256,0.0
interpretable,search_1001plus,U08,清单与推荐,8896,201,0.022594424460431653,0.01970615462038535,0.025894836750067797,0.02133920267979641
interpretable,search_1001plus,U09,获取现成内容,8896,120,0.013489208633093525,0.011293352636270742,0.016105067578309255,0.01247432441376649
interpretable,search_1001plus,U10,生成与编辑,8896,0,0.0,0.0,0.00043164813180495256,0.0
interpretable,search_1001plus,U11,会话与系统指令,8896,0,0.0,0.0,0.00043164813180495256,0.0
