层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L2 子意图,助手语音1k,5,DISEASE_CONCEPT_INFO__4,51,5.1,5.1
自上而下 L2 子意图,助手语音1k,6,PERMISSION_CHECK__1,51,5.1,5.1
自上而下 L2 子意图,助手语音1k,7,TREATMENT_SEEKING__2,44,4.4,4.4
自上而下 L2 子意图,助手语音1k,8,NON_HEALTH_OTHER__1,43,4.3,4.3
自上而下 L2 子意图,助手语音1k,9,RESULT_INTERPRETATION__2,37,3.7,3.7
自上而下 L2 子意图,助手语音1k,10,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__4,37,3.7,3.7
自下而上 家族,2025搜索,1,31,1271,12.7125425085017,15.138549812028435
自下而上 家族,2025搜索,2,17,728,7.281456291258252,6.792408685169445
自下而上 家族,2025搜索,3,35,658,6.581316263252651,6.202213634921193
自下而上 家族,2025搜索,4,44,645,6.4512902580516105,5.658072158342878
自下而上 家族,2025搜索,5,5,643,6.43128625725145,7.915858887327157
自下而上 家族,2025搜索,6,51,416,4.160832166433287,4.886798157158027
自下而上 家族,2025搜索,7,48,349,3.4906981396279257,4.573757213989062
自下而上 家族,2025搜索,8,18,344,3.4406881376275256,3.3307116377072274
自下而上 家族,2025搜索,9,3,313,3.130626125225045,2.3760457270867286
自下而上 家族,2025搜索,10,29,308,3.0806161232246447,2.9246692032454207
自下而上 家族,2025搜索随机1w,1,3,823,8.23,4.796240546295617
自下而上 家族,2025搜索随机1w,2,17,711,7.11,8.226742051545637
自下而上 家族,2025搜索随机1w,3,26,668,6.68,7.0621925251486894
自下而上 家族,2025搜索随机1w,4,32,613,6.13,2.917982230707101
自下而上 家族,2025搜索随机1w,5,30,567,5.67,1.8870695352081652
自下而上 家族,2025搜索随机1w,6,36,562,5.62,1.691754166972612
自下而上 家族,2025搜索随机1w,7,0,518,5.18,3.2968646743520087
自下而上 家族,2025搜索随机1w,8,42,429,4.29,1.6432924590645426
