key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2025搜索随机1w_n,2025搜索随机1w_置信度均值,2025搜索随机1w_意图歧义%,2025搜索随机1w_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,2026搜索随机1w_n,2026搜索随机1w_置信度均值,2026搜索随机1w_意图歧义%,2026搜索随机1w_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,助手语音头部1k_n,助手语音头部1k_置信度均值,助手语音头部1k_意图歧义%,助手语音头部1k_聚类歧义%,助手语音1k_n,助手语音1k_置信度均值,助手语音1k_意图歧义%,助手语音1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
EFFICACY_AUTHENTICITY_CHECK__1,EFFICACY_AUTHENTICITY_CHECK__1,137,12,0.7773,0.0,33.33,58,0.5863,5.17,39.66,12,0.7624,0.0,25.0,48,0.536,8.33,25.0,0,,,,4,0.4366,0.0,75.0,0,,,,3,0.4546,0.0,66.67,2026搜索随机1w,0.0503,0.5936
PHARMA_COMPANY_LOOKUP__1,PHARMA_COMPANY_LOOKUP__1,131,46,0.6042,0.0,4.35,3,0.6225,0.0,0.0,73,0.5966,1.37,2.74,3,0.4191,0.0,0.0,1,0.445,0.0,0.0,0,,,,4,0.6448,0.0,0.0,1,0.5493,0.0,0.0,2026搜索,0.0076,0.5958
NON_HEALTH_OTHER__2,NON_HEALTH_OTHER__2,659,109,0.5952,3.67,24.77,115,0.5774,3.48,33.91,89,0.5925,4.49,22.47,136,0.5662,3.68,31.62,72,0.6471,1.39,26.39,24,0.6269,4.17,50.0,96,0.6572,3.12,19.79,18,0.5841,0.0,44.44,2026搜索随机1w,0.091,0.6013
EFFICACY_AUTHENTICITY_CHECK__4,EFFICACY_AUTHENTICITY_CHECK__4,228,19,0.6323,0.0,21.05,72,0.5655,5.56,37.5,32,0.6687,3.12,21.88,81,0.6134,3.7,35.8,2,0.5737,0.0,50.0,9,0.5728,11.11,44.44,4,0.5075,25.0,25.0,9,0.6684,0.0,77.78,2025搜索随机1w,0.1032,0.606
RESULT_INTERPRETATION__2,RESULT_INTERPRETATION__2,1266,77,0.6604,1.3,16.88,474,0.6269,3.38,31.22,88,0.6788,0.0,21.59,528,0.6191,3.03,28.22,2,0.7341,0.0,0.0,56,0.5468,0.0,41.07,4,0.464,0.0,25.0,37,0.5694,5.41,37.84,助手随机1k,0.132,0.6237
REFERENCE_VALUE_CALCULATOR__3,REFERENCE_VALUE_CALCULATOR__3,227,27,0.722,0.0,18.52,79,0.6325,1.27,18.99,32,0.7092,3.12,12.5,76,0.5737,3.95,23.68,3,0.6649,0.0,33.33,5,0.453,0.0,20.0,0,,,,5,0.6498,0.0,40.0,2026搜索随机1w,0.1483,0.6311
PROGNOSIS_CONTAGION_VERDICT__2,PROGNOSIS_CONTAGION_VERDICT__2,102,23,0.7009,0.0,4.35,28,0.5912,0.0,10.71,26,0.693,0.0,3.85,17,0.5697,0.0,5.88,1,0.7572,0.0,0.0,4,0.6035,0.0,25.0,1,0.6918,0.0,0.0,2,0.4829,0.0,0.0,2025搜索随机1w,0.1097,0.6393
PROGNOSIS_CONTAGION_VERDICT__4,PROGNOSIS_CONTAGION_VERDICT__4,100,29,0.6364,0.0,0.0,15,0.6495,0.0,0.0,34,0.6649,2.94,0.0,19,0.6708,0.0,21.05,0,,,,2,0.558,0.0,50.0,0,,,,1,0.3022,0.0,0.0,2025搜索,0.0285,0.6497
DOSAGE_ADMINISTRATION__2,DOSAGE_ADMINISTRATION__2,154,14,0.7551,0.0,21.43,53,0.6552,7.55,16.98,26,0.7924,3.85,23.08,42,0.5661,4.76,42.86,0,,,,11,0.5798,18.18,45.45,0,,,,8,0.6211,0.0,12.5,2026搜索随机1w,0.2263,0.656
DOSAGE_ADMINISTRATION__3,DOSAGE_ADMINISTRATION__3,136,27,0.7889,0.0,44.44,27,0.5603,7.41,37.04,44,0.7657,2.27,45.45,33,0.5277,9.09,54.55,1,0.7522,0.0,0.0,4,0.4536,25.0,75.0,0,,,,0,,,,2026搜索随机1w,0.2612,0.6625
